"Course ID","Subject code","Catalog Number","Offering Unit","Course Title","Course Description","Min Units","Max Units","Repeatable for Credit","Total Completions Allowed","Total Units Allowed","Grading Basis","Components","Course Attributes","Enrollment Requirements","Course Requisites"
"012322","CSC","574A","-","Computer-Aided Logic Design","Tabular minimization of single and multiple output Boolean functions, NMOS and CMOS realizations, synthesis of sequential circuits, RTL description, laboratory exercises. Graduate-level requirements include additional homework and term projects.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","CE - CL (Cross Listed)","-","-"
"009912","CSC","576","Computer Science","Computer Architecture","Design of computers, including instruction set design, processor implementation, pipelining, memory hierarchy, vector processors, and parallel architectures. Emphasis on hardware and software tradeoffs.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","-","-","CSC 452, ECE 369."
"009913","CSC","577","Computer Science","Introduction to Computer Vision","Overview of algorithms for analyzing image data. Topics include image formation, physics-based vision, linear filtering, edge detection, multiple view geometry, segmentation, tracking, and recognition. Graduate-level requirements include additional challenging assignments or a research oriented project and participate in the weekly vision group meeting.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","CE - CL (Cross Listed), GIDP - COGS (Cognitive Science)","-","-"
"040591","CSC","580","Computer Science","Principles of Machine Learning","Students will learn why machine learning is a fundamentally different way of writing computer programs from traditional programming, and why this is often an attractive way of solving practical problems. Machine learning is all about automatic ways for computers to collect and/or adapt to data to make better predictions and decisions or gain insight; students will learn both advantages and unique risks that this approach offers. They will learn the fundamental frameworks, computational methods, and algorithms that underlie current machine learning practice, and how to derive and implement many of them.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","GIDP - GC (Global Change)","015356","Strong background in linear algebra and calculus is necessary. Good amount of programming experience is needed: a significant amount of programming maturity is expected. Some probability theory and statistics will be helpful, but not strictly necessary."
"019958","CSC","581","-","Advanced Computational Linguistics","This course provides a hands-on project-based approach to particular problems and issues in computational linguistics.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","CE - CL (Cross Listed), GIDP - COGS (Cognitive Science)","-","LING 538."
"038829","CSC","583","Computer Science","Text Retrieval and Web Search","Most of the web data today consists of unstructured text. Of course, the fact that this data exists is irrelevant, unless it is made available such that users can quickly find information that is relevant for their needs. This course will cover the fundamental knowledge necessary to build these systems, such as web crawling, index construction and compression, Boolean, vector-based, and probabilistic retrieval models, text classification and clustering, link analysis algorithms such as PageRank, and computational advertising. The students will also complete one programming project, in which they will construct one complex application that combines multiple algorithms into a system that solves real-world problems.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","-","Graduate major or minor: CSC.","MATH 129."
"039999","CSC","585","Computer Science","Algorithms for Natural Language Processing","This course covers important algorithms useful for natural language processing (NLP), including distributional similarity algorithms such as word embeddings, recurrent and recursive neural networks (NN), probabilistic graphical models useful for sequence prediction, and parsing algorithms such as shift-reduce. This course will focus on the algorithms that underlie NLP, rather than the application of NLP to various problem domains.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","-","-","-"
"041122","CSC","588","Computer Science","Machine Learning Theory","Students will learn how and when machine learning is possible/impossible as well as various algorithms with theoretical guarantees under minimal assumptions. Specifically, the course offers formulation of learning environments (e.g., stochastic and adversarial worlds with possibly limited feedback), fundamental limits of learning in these environments, various algorithms concerning sample efficiency, computational efficiency, and generality. Throughout, students will not only learn fundamental tools upholding the current understanding of machine learning systems in the research community but also develop skills of adapting these techniques to their own research needs such as developing new algorithms for large-scale, data-driven applications.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","-","Graduate major or minor: CSC.","Students must have strong familiarity with:"
"009920","CSC","593","Computer Science","Internship","Specialized work on an individual basis, consisting of training and practice in actual service in a technical, business, or governmental establishment.","1","6","No","-","-","SPF - Alternative Grading S, P, F","Independent Study","-","-","-"
"043099","CSC","596","Computer Science","Special Topics in Computer Science Seminar","This graduate seminar studies special topics in Computer Science within a small group format. Through selected readings, presentations, and group discussions, students will take a discussion-based learning approach. Specific topics will be determined by current topics of interest by the instructor and in special cases, the students.","1","3","Yes","2","6","GRD - Regular Grades A, B, C, D, E","Seminar","-","-","-"
"009921","CSC","599","Computer Science","Independent Study","Qualified students working on an individual basis with professors who have agreed to supervise such work. Graduate students doing independent work which cannot be classified as actual research will register for credit under course number 599, 699, or 799.","1","4","Yes","99","999","SPF - Alternative Grading S, P, F","Independent Study","-","-","-"
"009932","CSC","695A","Computer Science","Graduate Colloquium","Presentation of current research topics in Computer Science.","1","1","Yes","99","7","SPF - Alternative Grading S, P, F","Colloquium","-","-","-"
"041272","CSC","696A","Computer Science","Advanced Topics in Programming Languages and Compilers","The goal of this graduate seminar course is to learn more about research in the general field of programming languages and compilers. In this course, we will read and review research papers on programming languages and compilers. We will also learn how to do research in computer science by reading, evaluating, presenting, and conducting a research project in programming languages and compilers. Specific topics to be determined by current literature and faculty and student interest.","3","3","Yes","99","999","GRD - Regular Grades A, B, C, D, E","Seminar","-","Graduate major or minor: CSC.","-"
"041276","CSC","696B","Computer Science","Advanced Topics in Parallel, Distributed, and High-Performance Computing","The goal of this graduate seminar course is to learn more about research in the general field of parallel, distributed, and high-performance computing. In this course, we will read and review research papers on parallel, distributed, and high-performance computing. We will also learn how to do research in computer science by reading, evaluating, presenting, and conducting a research project in parallel, distributed, or high-performance computing. Specific topics to be determined by current literature and faculty and student interest.","3","3","Yes","99","999","GRD - Regular Grades A, B, C, D, E","Seminar","-","Graduate major or minor: CSC.","-"
"041273","CSC","696C","Computer Science","Advanced Topics in Computer Science","This is a research-oriented seminar course addressing selected advanced current topics in computer science. The specific computer science domain will be selected based on current literature as well as faculty and student interests. Exemplar domains include computer architecture, cyber-physical systems, domain-specific applications, education, embedded & real-time systems, formal verification, operations research, robotics, software engineering, ubiquitous computing, and web technologies.","3","3","Yes","99","999","GRD - Regular Grades A, B, C, D, E","Seminar","-","Graduate major or minor: CSC.","-"
"041277","CSC","696D","Computer Science","Advanced Topics in Visualization and Graphics","This is a research-oriented seminar course addressing selected advanced current topics in visualization and graphics, broadly defined to include both the theory and applications. Exemplar domains include data visualization, computer graphics, computational geometry, visual analytics, data analysis, imaging, visual interfaces, geometric modeling, perception & cognition, computer-aided geometric design, display technologies, and virtual & augmented reality. Within a domain, topics will be selected based on current literature as well as faculty and student interests.","3","3","Yes","99","999","GRD - Regular Grades A, B, C, D, E","Seminar","-","Graduate major or minor: CSC.","-"
"041278","CSC","696E","Computer Science","Advanced Topics in Algorithms","The goal of this graduate seminar course is to learn more about research in the general field of algorithms. In this course, we will read and review research papers on algorithms. We will also learn how to do research in computer science by reading, evaluating, presenting, and conducting a research project in algorithms. Specific topics to be determined by current literature and faculty and student interest.","3","3","Yes","99","999","GRD - Regular Grades A, B, C, D, E","Seminar","GIDP - COGS (Cognitive Science)","Graduate major or minor: CSC.","-"
"041274","CSC","696F","Computer Science","Advanced Topics in Computer Systems","The goal of this graduate seminar course is to learn more about research in the general field of computer systems. In this course, we will read and review research papers on computer systems. We will also learn how to do research in computer science by reading, evaluating, presenting, and conducting a research project in computer systems. Specific topics to be determined by current literature and faculty and student interest.","3","3","Yes","99","999","GRD - Regular Grades A, B, C, D, E","Seminar","-","Graduate major or minor: CSC.","-"
"020006","CSC","696G","-","Topics in Computational Linguistics","The development and exchange of scholarly information, usually in a small group setting with an in depth investigation of computational linguistics theory and application. The scope of work shall consist of research by course registrants, with the exchange of the results of such research through discussion, reports, and/or papers.","3","3","Yes","99","18","GRD - Regular Grades A, B, C, D, E","Seminar","CE - CL (Cross Listed), GIDP - COGS (Cognitive Science)","-","-"
"041275","CSC","696H","Computer Science","Advanced Topics in Artificial Intelligence","The goal of this graduate seminar course is to learn more about research in the general field of artificial intelligence. In this course, we will read and review research papers on artificial intelligence. We will also learn how to do research in computer science by reading, evaluating, presenting, and conducting a research project in artificial intelligence. Specific topics to be determined by current literature and faculty and student interest.","3","3","Yes","99","999","GRD - Regular Grades A, B, C, D, E","Seminar","-","Graduate major or minor: CSC.","-"
"041279","CSC","696I","Computer Science","Advanced Topics in Security","The goal of this graduate seminar course is to learn more about research in the general field of computer security. In this course, we will read and review research papers on computer security. We will also learn how to do research in computer science by reading, evaluating, presenting, and conducting a research project in computer security. Specific topics to be determined by current literature and faculty and student interest.","3","3","Yes","99","999","GRD - Regular Grades A, B, C, D, E","Seminar","-","Graduate major or minor: CSC.","-"
"042530","CSC","696J","Computer Science","Advanced Topics in Data Systems","The goal of this graduate seminar course is to learn more about research in the general field of data systems. In this course, we will read and review research papers on data systems. We will also learn how to do research in computer science by reading, evaluating, presenting, and conducting a research project in data systems. Specific topics to be determined by current literature and faculty and student interest.","3","3","Yes","99","99","GRD - Regular Grades A, B, C, D, E","Seminar","-","Graduate major or minor: CSC.","-"
"009938","CSC","699","Computer Science","Independent Study","Qualified students working on an individual basis with professors who have agreed to supervise such work. Graduate students doing independent work which cannot be classified as actual research will register for credit under course number 599, 699, or 799.","1","4","Yes","99","999","SPF - Alternative Grading S, P, F","Independent Study","-","-","-"
"009939","CSC","799","Computer Science","Independent Study","Qualified students working on an individual basis with professors who have agreed to supervise such work. Graduate students doing independent work which cannot be classified as actual research will register for credit under course number 599, 699, or 799.","1","4","Yes","99","999","SPF - Alternative Grading S, P, F","Independent Study","-","-","-"
"009940","CSC","900","Computer Science","Research","Individual research, not related to thesis or dissertation preparation, by graduate students.","1","6","Yes","99","999","SPF - Alternative Grading S, P, F","Independent Study","-","-","-"
"009941","CSC","910","Computer Science","Thesis","Research for the master's thesis (whether library research, laboratory or field observation or research, artistic creation, or thesis writing). Maximum total credit permitted varies with the major department.","1","6","Yes","99","999","SPF - Alternative Grading S, P, F","Independent Study","-","-","-"
"009942","CSC","920","Computer Science","Dissertation","Research for the doctoral dissertation (whether library research, laboratory or field observation or research, artistic creation, or dissertation writing).","1","9","Yes","99","999","SPF - Alternative Grading S, P, F","Independent Study","-","-","-"
